GasolinePrice,GasolinePriceAdjustedforInflation(2023$/gallon),Year
0.27,3.29,1950
0.27,3.15,1951
0.27,3.15,1952
0.29,3.27,1953
0.29,3.34,1954
0.29,3.33,1955
0.3,3.33,1956
0.31,3.35,1957
0.3,3.23,1958
0.3,3.18,1959
0.31,3.2,1960
0.31,3.15,1961
0.31,3.09,1962
0.3,3.02,1963
0.3,2.99,1964
0.31,3.01,1965
0.32,2.99,1966
0.33,3.01,1967
0.34,2.92,1968
0.35,2.83,1969
0.36,2.75,1970
0.36,2.72,1971
0.36,2.61,1972
0.39,2.58,1973
0.53,3.15,1974
0.57,3.14,1975
0.61,3.24,1976
0.66,3.24,1977
0.67,3.04,1978
0.9,3.61,1979
1.24,4.43,1980
1.38,4.51,1981
1.3,4.08,1982
1.24,3.76,1983
1.21,3.54,1984
1.2,3.38,1985
0.93,2.58,1986
0.95,2.52,1987
0.95,2.41,1988
1.02,2.48,1989
1.17,2.67,1990
1.14,2.54,1991
1.12,2.43,1992
1.11,2.34,1993
1.11,2.28,1994
1.15,2.29,1995
1.23,2.39,1996
1.23,2.34,1997
1.06,1.98,1998
1.16,2.12,1999
1.51,2.66,2000
1.46,2.54,2001
1.36,2.31,2002
1.59,2.66,2003
1.88,3.03,2004
2.29,3.58,2005
2.59,3.94,2006
2.8,4.09,2007
3.27,4.77,2008
2.35,3.34,2009
2.79,3.9,2010
3.53,4.8,2011
3.64,4.88,2012
3.52,4.65,2013
3.36,4.44,2014
2.45,3.18,2015
2.14,2.72,2016
2.41,3.01,2017
2.25,2.74,2018
2.64,3.14,2019
2.17,2.56,2020
3.05,3.36,2021
4.1,4.22,2022
3.5,3.5,2023
